destinazione;marca;alimentazione;data_immatricolazione
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2004
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/01/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/01/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2004
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2004
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;04/12/1998
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;18/12/2015
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;07/11/2002
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;07/11/2002
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;12/12/2011
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;03/11/2016
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;11/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;13/09/2013
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;13/09/2013
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;05/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;21/06/2012
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;15/02/2011
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;09/08/2011
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;24/04/2015
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;24/04/2015
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/02/2011
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/03/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/06/2015
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/06/2015
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/06/2015
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/06/2015
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;19/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;28/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;28/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;28/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;28/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;28/11/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;30/12/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/06/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/06/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/06/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/06/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/06/2010
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;12/07/2002
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;12/07/2002
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;13/09/2007
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;13/09/2007
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;17/03/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/04/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/07/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;08/08/2001
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;08/08/2001
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;08/08/2001
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;08/08/2001
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;30/12/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;30/12/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;30/12/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;30/12/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;16/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;16/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;18/12/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;18/12/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;18/12/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;18/12/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;18/12/2008
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;16/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;16/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;16/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/11/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/11/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/03/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/03/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/03/2010
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;07/12/2005
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/11/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/11/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;25/11/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;03/09/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;06/09/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/09/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/03/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/04/2002
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/10/2015
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/10/2015
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/10/2015
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/10/2015
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/02/2000
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;19/04/2002
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/10/2015
